DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.913416340837,0.94372406114,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.908299948869,0.939670007086,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.906756340134,0.939219556635,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.899805273045,0.936066403482,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.899805273045,0.936066403482,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.899805273045,0.936066403482,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.899805273045,0.936066403482,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.899805273045,0.936066403482,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.89296495228,0.933364713028,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.89296495228,0.933364713028,
